	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.4e-005	-1.7288	70.499	26.572	
2	1.9519e-005	-1.5798	68.995	25.675	
3	2.4855e-005	-1.4458	67.672	25.179	
4	3.019e-005	-1.3187	66.447	24.85	
5	3.8104e-005	-1.1407	64.796	24.528	
6	6.1847e-005	-0.66035	60.817	24.02	
7	9.0393e-005	-0.13531	56.977	23.662	
8	1.4149e-004	0.69222	52.939	23.316	
9	2.1461e-004	1.7181	50.529	23.057	
10	3.0243e-004	2.7881	48.35	22.892	
11	4.4243e-004	4.2195	45.842	22.771	
12	5.8243e-004	5.4512	43.914	22.712	
13	7.2243e-004	6.532	42.36	22.683	
14	8.6243e-004	7.4942	41.065	22.669	
15	1.0024e-003	8.3607	39.959	22.663	
16	1.1424e-003	9.1478	39.85	22.661	
17	1.2824e-003	9.8679	39.85	22.661	
18	1.4e-003	10.431	39.85	22.663	
19	1.1414e-002	18.494	39.85	22.814	
20	1.4766e-002	19.219	39.85	22.857	
21	1.8118e-002	19.847	39.85	22.894	
22	2.8174e-002	20.927	39.85	22.975	
23	5.8341e-002	21.846	39.85	23.148	
24	0.14884	22.	39.85	23.567	
25	0.24898	22.	39.85	23.968	
26	0.34912	22.	39.85	24.326	
27	0.44926	22.	39.85	24.652	
28	0.5494	22.	39.85	24.956	
29	0.64954	22.	39.85	25.242	
30	0.74968	22.	39.85	25.514	
31	0.84982	22.	39.85	25.774	
32	0.94996	22.	39.85	26.023	
33	1.0028	22.	39.85	26.152	
34	1.0128	22.	39.85	26.176	
35	1.0228	22.	39.85	26.201	
36	1.0529	22.	39.85	26.273	
37	1.143	22.	39.85	26.484	
38	1.2431	22.	39.85	26.709	
39	1.3433	22.	39.85	26.926	
40	1.4434	22.	39.85	27.135	
41	1.5436	22.	39.85	27.337	
42	1.6437	22.	39.85	27.532	
43	1.7438	22.	39.85	27.72	
44	1.844	22.	39.85	27.902	
45	1.9441	22.	39.85	28.077	
46	2.0042	22.	39.85	28.181	
47	2.0142	22.	39.85	28.198	
48	2.0242	22.	39.85	28.215	
49	2.0543	22.	39.85	28.266	
50	2.1444	22.	39.85	28.414	
51	2.2445	22.	39.85	28.573	
52	2.3447	22.	39.85	28.728	
53	2.4448	22.	39.85	28.877	
54	2.545	22.	39.85	29.021	
55	2.6451	22.	39.85	29.161	
56	2.7452	22.	39.85	29.296	
57	2.8454	22.	39.85	29.428	
58	2.9455	22.001	39.85	29.555	
59	3.0056	22.001	39.85	29.63	
60	3.0156	22.001	39.85	29.642	
61	3.0256	22.001	39.85	29.655	
62	3.0557	22.001	39.85	29.692	
63	3.1458	22.001	39.85	29.8	
64	3.2459	22.001	39.85	29.916	
65	3.3461	22.002	39.85	30.029	
66	3.4462	22.002	39.85	30.139	
67	3.5464	22.002	39.85	30.245	
68	3.6465	22.003	39.85	30.349	
69	3.7466	22.004	39.85	30.45	
70	3.8468	22.004	39.85	30.548	
71	3.9469	22.005	39.85	30.643	
72	4.007	22.006	39.85	30.699	
73	4.017	22.006	39.85	30.709	
74	4.027	22.006	39.85	30.718	
75	4.0571	22.006	39.85	30.746	
76	4.1472	22.007	39.85	30.827	
77	4.2473	22.009	39.85	30.915	
78	4.3474	22.01	39.85	31.001	
79	4.4476	22.012	39.85	31.085	
80	4.5477	22.013	39.85	31.166	
81	4.6478	22.015	39.85	31.246	
82	4.748	22.018	39.85	31.324	
83	4.8481	22.02	39.85	31.4	
84	4.9482	22.023	39.85	31.474	
85	5.0083	22.024	39.85	31.518	
86	5.0183	22.025	39.85	31.525	
87	5.0283	22.025	39.85	31.532	
88	5.0584	22.026	39.85	31.554	
89	5.1485	22.029	39.85	31.618	
90	5.2486	22.032	39.85	31.687	
91	5.3488	22.036	39.85	31.754	
92	5.4489	22.04	39.85	31.821	
93	5.5491	22.044	39.85	31.885	
94	5.6492	22.049	39.85	31.949	
95	5.7493	22.054	39.85	32.011	
96	5.8495	22.059	39.85	32.072	
97	5.9496	22.065	39.85	32.131	
98	6.0097	22.068	39.85	32.167	
99	6.0197	22.069	39.85	32.172	
100	6.0297	22.07	39.85	32.178	
101	6.0598	22.071	39.85	32.196	
102	6.1499	22.077	39.85	32.247	
103	6.25	22.084	39.85	32.303	
104	6.3502	22.091	39.85	32.358	
105	6.4503	22.099	39.85	32.413	
106	6.5505	22.106	39.85	32.466	
107	6.6506	22.115	39.85	32.518	
108	6.7507	22.123	39.85	32.569	
109	6.8509	22.133	39.85	32.619	
110	6.951	22.142	39.85	32.668	
111	7.0111	22.148	39.85	32.697	
112	7.0211	22.149	39.85	32.702	
113	7.0311	22.15	39.85	32.707	
114	7.0612	22.153	39.85	32.722	
115	7.1513	22.162	39.85	32.765	
116	7.2514	22.173	39.85	32.811	
117	7.3516	22.184	39.85	32.857	
118	7.4517	22.196	39.85	32.903	
